                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.166,                 2.4508,                 1.2612,                0.59002,                0.62382,                0.63778,                0.48366,                0.88144,                 1.4291,                 1.0747,              0.0032843,              0.0032843,              0.0032843
                      2,                0.98968,                 1.2253,                 1.1513,                0.71236,                0.65632,                0.75506,                0.56264,                0.90689,                 1.1705,                 1.0703,              0.0066175,              0.0066175,              0.0066175
                      3,                 1.0186,                 1.1488,                 1.1643,                0.63369,                0.62607,                0.65408,                0.45948,                 1.1086,                 1.6481,                 1.1994,              0.0099499,              0.0099499,              0.0099499
                      4,                 1.1048,                 1.3008,                 1.2033,                0.58013,                0.56305,                0.55096,                0.37186,                 1.2686,                 1.9719,                 1.3106,              0.0099976,              0.0099976,              0.0099976
                      5,                  1.149,                 1.3446,                 1.2523,                0.64143,                0.61037,                0.63318,                0.43942,                 1.1444,                 1.6711,                  1.243,              0.0099957,              0.0099957,              0.0099957
                      6,                 1.1251,                 1.2789,                 1.2431,                0.59587,                0.51841,                 0.5141,                0.32554,                 1.2721,                 1.9396,                 1.4578,              0.0099932,              0.0099932,              0.0099932
                      7,                 1.1033,                 1.2144,                  1.241,                0.73218,                0.70223,                0.74602,                0.54869,                0.98559,                 1.3152,                  1.145,              0.0099902,              0.0099902,              0.0099902
                      8,                 1.1182,                 1.1845,                 1.2181,                0.77609,                0.68219,                0.77976,                0.56542,                0.98812,                 1.1347,                 1.1543,              0.0099867,              0.0099867,              0.0099867
                      9,                 1.0756,                 1.1495,                 1.2116,                0.65851,                0.61197,                0.64967,                0.46165,                 1.0981,                 1.5658,                  1.237,              0.0099826,              0.0099826,              0.0099826
                     10,                 1.0654,                 1.1222,                 1.2069,                0.78914,                 0.6747,                0.75982,                0.54603,                 1.0194,                 1.1318,                 1.1285,               0.009978,               0.009978,               0.009978
                     11,                 1.0473,                 1.0616,                 1.1906,                0.80031,                0.74917,                0.82533,                 0.6256,                0.93734,                0.96456,                 1.1201,              0.0099729,              0.0099729,              0.0099729
                     12,                  1.064,                 1.0642,                 1.1998,                0.81813,                0.61321,                0.74876,                0.56295,                 0.9751,                 1.1182,                 1.1519,              0.0099672,              0.0099672,              0.0099672
                     13,                 1.0395,                 1.0485,                 1.2051,                0.81376,                0.71672,                0.82568,                0.59221,                 1.0051,                  1.038,                 1.1322,               0.009961,               0.009961,               0.009961
                     14,                 1.0239,                 1.0215,                 1.1848,                0.85618,                0.80254,                0.87632,                0.64664,                  0.959,                0.85923,                 1.1284,              0.0099542,              0.0099542,              0.0099542
                     15,                 1.0288,                 1.0098,                  1.183,                0.85563,                0.74751,                0.85364,                 0.6483,                0.89531,                0.85062,                 1.0699,              0.0099469,              0.0099469,              0.0099469
                     16,                0.99609,                 0.9729,                 1.1633,                0.85914,                0.79786,                0.88318,                0.67677,                0.90936,                0.79573,                 1.0771,              0.0099391,              0.0099391,              0.0099391
                     17,                0.99839,                0.96866,                   1.17,                0.84741,                0.77174,                0.85784,                0.66232,                0.87965,                0.82918,                 1.0674,              0.0099307,              0.0099307,              0.0099307
                     18,                  0.993,                0.95582,                 1.1588,                0.77692,                0.83345,                0.86262,                0.65236,                0.91784,                 0.8241,                 1.0678,              0.0099218,              0.0099218,              0.0099218
                     19,                  0.979,                 0.9166,                 1.1557,                0.86801,                0.81369,                 0.8881,                0.69016,                0.88038,                0.76622,                 1.0814,              0.0099123,              0.0099123,              0.0099123
                     20,                0.97266,                0.91228,                 1.1524,                0.82465,                0.78911,                0.85178,                0.65208,                 0.8957,                0.79442,                 1.0806,              0.0099023,              0.0099023,              0.0099023
                     21,                0.94944,                0.88595,                 1.1353,                0.85925,                0.81797,                0.89191,                0.69862,                 0.8226,                0.70502,                 1.0372,              0.0098918,              0.0098918,              0.0098918
                     22,                0.96901,                0.90389,                 1.1541,                 0.8139,                0.77197,                0.86908,                0.66381,                 0.8647,                0.84451,                 1.0662,              0.0098808,              0.0098808,              0.0098808
                     23,                0.93764,                0.86828,                   1.14,                0.83509,                0.80637,                 0.8699,                0.66928,                0.89478,                0.78541,                 1.0621,              0.0098692,              0.0098692,              0.0098692
                     24,                0.96252,                0.87643,                 1.1424,                0.85508,                 0.8488,                0.90443,                0.71631,                0.80991,                0.68017,                 1.0348,              0.0098571,              0.0098571,              0.0098571
                     25,                0.93069,                0.84361,                 1.1283,                 0.8304,                0.71045,                0.82365,                0.62123,                0.95805,                0.97742,                 1.1158,              0.0098445,              0.0098445,              0.0098445
                     26,                0.94526,                0.84485,                 1.1352,                0.85467,                0.78545,                0.87942,                0.68975,                0.86633,                0.78071,                 1.0917,              0.0098313,              0.0098313,              0.0098313
                     27,                 0.9396,                0.83353,                   1.14,                0.84433,                0.79895,                0.88011,                0.68229,                0.85534,                0.78655,                 1.0547,              0.0098177,              0.0098177,              0.0098177
                     28,                0.91699,                0.81321,                 1.1182,                0.82727,                0.82403,                0.90236,                0.71623,                 0.8265,                0.69025,                  1.023,              0.0098035,              0.0098035,              0.0098035
                     29,                0.90903,                0.81715,                 1.1179,                0.88416,                0.82913,                0.90154,                0.70744,                0.83899,                0.69407,                   1.06,              0.0097887,              0.0097887,              0.0097887
                     30,                0.90924,                0.79862,                 1.1156,                0.87227,                0.84497,                0.90028,                0.70409,                0.85233,                0.68949,                 1.0474,              0.0097735,              0.0097735,              0.0097735
                     31,                0.92241,                0.81927,                 1.1257,                 0.8481,                0.85503,                0.90335,                0.71147,                0.85854,                0.68261,                 1.0786,              0.0097577,              0.0097577,              0.0097577
                     32,                0.90631,                0.78134,                 1.1148,                0.91575,                0.81961,                0.90399,                0.71974,                0.82037,                0.64478,                 1.0389,              0.0097415,              0.0097415,              0.0097415
                     33,                0.91029,                0.78139,                 1.1123,                0.89893,                0.84348,                0.89625,                0.70956,                 0.8434,                0.67007,                 1.0435,              0.0097247,              0.0097247,              0.0097247
                     34,                0.90175,                 0.7756,                 1.1187,                0.87117,                0.82548,                0.89585,                0.70427,                0.84824,                0.68733,                 1.0525,              0.0097074,              0.0097074,              0.0097074
                     35,                0.89896,                0.78223,                 1.1084,                0.91416,                0.83232,                0.90924,                0.71785,                0.82365,                 0.6742,                 1.0254,              0.0096895,              0.0096895,              0.0096895
                     36,                0.87535,                0.75263,                 1.0998,                0.86436,                0.87593,                0.92588,                0.74043,                0.79968,                0.61474,                 1.0056,              0.0096712,              0.0096712,              0.0096712
                     37,                0.87814,                0.75325,                 1.0993,                0.87576,                0.81636,                0.88435,                0.70071,                 0.7971,                0.71167,                 1.0308,              0.0096524,              0.0096524,              0.0096524
                     38,                0.87325,                0.73436,                  1.091,                0.86288,                0.78792,                 0.8851,                0.69815,                0.83759,                0.71827,                 1.0534,              0.0096331,              0.0096331,              0.0096331
                     39,                0.86819,                0.72402,                 1.0979,                0.89666,                0.85648,                0.92238,                0.72833,                0.81959,                  0.643,                 1.0246,              0.0096132,              0.0096132,              0.0096132
                     40,                0.84977,                0.71501,                 1.0881,                0.88218,                0.84914,                0.91813,                0.73846,                0.78363,                0.63478,                 1.0014,              0.0095929,              0.0095929,              0.0095929
                     41,                0.85968,                0.72892,                  1.092,                0.83769,                0.81278,                0.89079,                0.72027,                0.80437,                 0.7134,                 1.0284,              0.0095721,              0.0095721,              0.0095721
                     42,                0.85401,                0.72174,                 1.0945,                 0.8811,                0.86778,                 0.9086,                0.73233,                0.81561,                0.60318,                 1.0478,              0.0095507,              0.0095507,              0.0095507
                     43,                 0.8424,                0.69307,                 1.0808,                0.90065,                0.82199,                0.90446,                0.72357,                0.81305,                 0.6867,                 1.0408,              0.0095289,              0.0095289,              0.0095289
                     44,                0.86942,                0.72012,                 1.1034,                0.90241,                0.84756,                0.91526,                0.72771,                0.78231,                0.63417,                 1.0333,              0.0095066,              0.0095066,              0.0095066
                     45,                0.85941,                 0.7135,                 1.0885,                0.90956,                0.82684,                0.89354,                0.70785,                0.79925,                0.65209,                 1.0295,              0.0094838,              0.0094838,              0.0094838
                     46,                0.84209,                0.69968,                 1.0769,                0.86857,                0.85031,                0.89962,                0.70697,                0.84464,                 0.7118,                 1.0529,              0.0094605,              0.0094605,              0.0094605
                     47,                0.84285,                0.69569,                 1.0801,                0.89913,                0.80602,                0.89945,                0.72121,                0.82271,                 0.6605,                 1.0395,              0.0094367,              0.0094367,              0.0094367
                     48,                0.83836,                0.68635,                  1.073,                 0.8996,                0.82787,                0.89954,                0.72002,                0.79911,                0.63619,                  1.015,              0.0094125,              0.0094125,              0.0094125
                     49,                0.84038,                0.68174,                 1.0822,                0.85715,                0.84644,                0.90004,                 0.7166,                0.81979,                0.65209,                 1.0537,              0.0093877,              0.0093877,              0.0093877
                     50,                0.82911,                0.68934,                 1.0776,                0.93103,                0.82814,                0.93256,                0.74851,                0.79193,                0.61356,                  1.023,              0.0093625,              0.0093625,              0.0093625
                     51,                0.83109,                0.68342,                 1.0759,                0.92062,                0.84203,                 0.9205,                0.74501,                0.79209,                 0.6081,                 1.0284,              0.0093368,              0.0093368,              0.0093368
                     52,                0.83729,                0.67999,                 1.0835,                  0.881,                0.89639,                0.93341,                0.74833,                0.78758,                0.58771,                 1.0169,              0.0093107,              0.0093107,              0.0093107
