                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2458,                 4.5778,                 3.4502,                 1.2875,                0.32813,                0.30903,                0.26099,                0.22208,                0.29273,                0.30903,                0.26485,                0.18822,                 1.1757,                 3.0975,                 2.3197,                 1.1757,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                0.87001,                  2.123,                 1.7864,                 1.1029,                0.65336,                0.76016,                0.75327,                0.60533,                0.70466,                0.82593,                0.81167,                0.54167,                0.60201,                 2.0869,                 3.0629,                0.82615,             8.3349e-05,             8.3349e-05,             8.3349e-05
                      3,                0.71091,                 1.3082,                  1.325,                 1.0362,                0.69405,                0.69444,                0.68467,                0.52783,                0.71986,                0.72222,                0.71433,                 0.4954,                0.68596,                 2.2746,                 1.4121,                 0.8584,             0.00013336,             0.00013336,             0.00013336
                      4,                0.68308,                 1.2554,                 0.9597,                 1.0203,                0.75931,                0.75694,                0.77952,                0.60657,                0.78741,                0.78472,                0.81545,                0.54889,                0.70266,                 2.2316,                 2.1511,                0.84411,             0.00018336,             0.00018336,             0.00018336
                      5,                0.68053,                0.97569,                0.79847,                  1.004,                0.67262,                0.81944,                0.79071,                0.62125,                0.72211,                0.87847,                0.85057,                0.57031,                0.65449,                 2.0923,                 2.9705,                0.81145,             0.00023335,             0.00023335,             0.00023335
                      6,                0.64847,                 1.0285,                 0.7514,                0.97904,                 0.7317,                0.78819,                0.87111,                0.66279,                0.75722,                0.81944,                 0.8677,                0.62776,                0.71033,                 1.8505,                 2.1593,                0.83775,             0.00028334,             0.00028334,             0.00028334
                      7,                0.67695,                 1.0542,                0.83823,                0.99237,                0.95455,                0.64583,                0.80456,                0.59574,                0.95455,                0.64583,                0.80592,                0.58139,                0.87175,                 1.7183,                 3.6736,                  1.032,             0.00033332,             0.00033332,             0.00033332
                      8,                0.65165,                0.92176,                0.68369,                  0.981,                0.61799,                0.79061,                0.77444,                 0.5419,                0.71449,                0.74498,                0.77829,                0.53443,                0.93933,                 1.6635,                   2.96,                  1.214,             0.00038328,             0.00038328,             0.00038328
                      9,                0.65488,                0.96171,                 0.7385,                0.97943,                0.81863,                0.70174,                0.76383,                0.54759,                0.74109,                0.64049,                0.68618,                 0.4394,                0.97318,                 2.5391,                 2.5987,                 1.1626,             0.00043323,             0.00043323,             0.00043323
                     10,                0.70879,                 1.0247,                0.71559,                0.97376,                0.79582,                0.62748,                0.70339,                0.53461,                 0.8555,                 0.6153,                0.65505,                0.47077,                 1.0126,                 2.8209,                  2.194,                 1.1845,             0.00048316,             0.00048316,             0.00048316
